time(seconds),activatory proteins(h),repressory proteins(i),Q proteins(q),Qc proteins(qc)
0,10.000026660527324,10.000026660527324,2.656065723862503E-7,2.656071840341356E-7
30,11.304600230714957,11.304600230714957,0.08082981332322473,0.06925860116109181
60,16.174052972668818,16.174052972668818,0.45703290904867533,0.40188944835667334
90,24.313010884477837,24.313010884477837,1.195217176020832,1.0752719074223342
120,35.00565476847375,35.00565476847375,2.3078758878194345,2.1130163582654777
150,47.658395113821484,47.658395113821484,3.7953634050211265,3.521496096336781
180,61.8353981429025,61.8353981429025,5.6544845317554895,5.300401213817054
210,77.2356261671033,77.2356261671033,7.880454442792266,7.446323155362273
240,93.65126513636342,93.65126513636342,10.427514120182362,9.919277916242429
270,110.90208744499651,110.90208744499651,11.459517371412456,11.126286169375197
300,128.82009050497393,128.82009050497393,11.67667686785772,11.515512233649604
330,147.28951829246256,147.28951829246256,11.728428759418687,11.657709082647097
360,166.23363904723936,166.23363904723936,11.740381816094617,11.711218120015713
390,185.55817257109794,185.55817257109794,11.745233811240258,11.733982104650769
420,205.18443110675656,205.18443110675656,11.745947204161164,11.742439238702309
450,225.08762616782892,225.08762616782892,11.746865106209228,11.74662345164366
480,245.47158380668694,245.47158380668694,11.749103994927028,11.750058184143953
510,265.7032892457422,265.7032892457422,11.750417468869712,11.751890729562664
540,285.7200210444302,285.7200210444302,11.750704491215952,11.752538777548585
570,305.8457250367804,305.8457250367804,11.752528578102142,11.754398858991372
600,325.8858297917401,325.8858297917401,11.752192685180983,11.754235066790695
630,345.82971221063127,345.82971221063127,11.754144701082465,11.756092530896568
660,365.77343054530195,365.77343054530195,11.755102001291068,11.757100130754477
690,385.7479785570792,385.7479785570792,11.754509117608377,11.756626426319992
720,405.7747951295412,405.7747951295412,11.756665675043106,11.758627125071847
750,425.9078002950385,425.9078002950385,11.757694177775816,11.759691574830681
780,446.24743917587483,446.24743917587483,11.75696667353392,11.759090354975822
810,466.77529709305287,466.77529709305287,11.759341037155242,11.761286226588108
840,487.5126930543532,487.5126930543532,11.760430720766143,11.762416369607445
870,508.54173437722716,508.54173437722716,11.759553193885052,11.761680677092421
900,529.9431424245851,529.9431424245851,11.762128730505381,11.764058727980782
930,552.4235903863664,552.4235903863664,11.7515223612608,11.755019425821224
960,575.0857825730081,575.0857825730081,11.756085129337944,11.758024107177503
990,597.651797515167,597.651797515167,11.762581384429005,11.763933539334019
1020,620.52448563106,620.52448563106,11.764273406723682,11.765950317369356
1050,643.8085412980719,643.8085412980719,11.763871186384598,11.765796012245252
1080,667.4399003915902,667.4399003915902,11.76662011108336,11.76844151208094
1110,691.2696288853482,691.2696288853482,11.767503484828042,11.769473914510831
1140,715.5020567308062,715.5020567308062,11.766775781595197,11.76884997952297
1170,740.20414338632,740.20414338632,11.769613180816629,11.771490811343671
1200,765.1604419691993,765.1604419691993,11.75360576913806,11.75746242690748
1230,790.534798487214,790.534798487214,11.764110279460553,11.765553419920202
1260,816.55032002579,816.55032002579,11.769918389490645,11.771153964211098
1290,843.155717341028,843.155717341028,11.771027685036918,11.772743076352723
