time(seconds),activatory proteins(h),repressory proteins(i),Q proteins(q),Qc proteins(qc)
0,10.000026660536102,10.000026660536102,2.6560762596009884E-7,2.6560762596009884E-7
30,11.304175630805071,11.304175630805071,0.0707841141967805,0.0822401530527025
60,16.166967777787427,16.166967777787427,0.4108392220447202,0.4638827665131177
90,24.28826080186963,24.28826080186963,1.0962122314821154,1.209344963737854
120,34.95199464922715,34.95199464922715,2.1480852044816134,2.3296895168074134
150,47.56717340017927,47.56717340017927,3.5714423290359365,3.8248559731521716
180,61.70207681453475,61.70207681453475,5.3653483049968225,5.691557273437938
210,77.05725205880462,77.05725205880462,7.5261391676383,7.924986395904271
240,93.42633999574909,93.42633999574909,10.01344225305355,10.47908823588561
270,110.63004125635806,110.63004125635806,11.194917823993306,11.485292218740598
300,128.50752703794475,128.50752703794475,11.547398007823237,11.682825862668551
330,146.93811220217907,146.93811220217907,11.669436587721156,11.728984390290883
360,165.82959575670557,165.82959575670557,11.714431214989618,11.739940457062822
390,185.09887771791773,185.09887771791773,11.734191689985533,11.744776878870667
420,204.67533903495894,204.67533903495894,11.741842134585623,11.745585204928846
450,224.53489464895205,224.53489464895205,11.745958183632162,11.746554079333814
480,244.87658966911306,244.87658966911306,11.749529513616784,11.748825544469257
510,265.0621343006446,265.0621343006446,11.751506054922235,11.750156253854255
540,285.0224765109702,285.0224765109702,11.752255142990103,11.750445381767562
570,305.08779250009286,305.08779250009286,11.754178858796896,11.752265969264093
600,325.0543101992725,325.0543101992725,11.754047597239477,11.751927504339372
630,344.9382088414261,344.9382088414261,11.755927024824896,11.75388006546491
660,364.8502553308399,364.8502553308399,11.75694309640263,11.754832208282018
690,384.78209398464253,384.78209398464253,11.756472836849378,11.754241556432401
720,404.7521779419284,404.7521779419284,11.758482698643757,11.756401852109557
750,424.85780612312846,424.85780612312846,11.75954759964042,11.75742516845057
780,445.1721667262001,445.1721667262001,11.758944713934929,11.756700167640545
810,465.6601095382248,465.6601095382248,11.761147527352618,11.759078563395406
840,486.385712923095,486.385712923095,11.762276106612815,11.760162245196991
870,507.42550426696266,507.42550426696266,11.761537281652839,11.759287360537835
900,528.8195212132897,528.8195212132897,11.763922235550545,11.761867226149715
930,551.3141542115175,551.3141542115175,11.754630611201309,11.75104976832191
960,573.9996864543855,573.9996864543855,11.757828334913537,11.755880725909089
990,596.5861650247036,596.5861650247036,11.763912521121272,11.76241193920005
1020,619.5102209118598,619.5102209118598,11.765888811802276,11.764033909810435
1050,642.8390393929392,642.8390393929392,11.765693053540389,11.763615028362233
1080,666.5088591320917,666.5088591320917,11.768322255204186,11.766360106407774
